PCA_1	PCA_2	Labels
-0.0053	-0.0318	0
0.0066	-0.0277	0
0.0064	-0.0313	0
0.0007	-0.0224	0
0.007	-0.0304	0
0.0127	-0.0156	0
0.0012	-0.0439	0
0.0014	-0.0435	0
0.0028	-0.0187	0
0.0042	-0.0392	0
0.0162	-0.0319	0
0.0167	-0.0325	0
0.0162	-0.0324	0
0.0147	-0.0282	0
0.0126	-0.0273	0
0.0309	-0.164	0
-0.0559	-0.0233	0
-0.0568	-0.0185	0
0.028	-0.1536	0
-0.0445	-0.0194	0
-0.05	-0.0223	0
0.0139	-0.0073	0
0.0302	0.027	0
0.0268	0.0266	0
-0.0084	0.0136	0
-0.0065	0.0123	0
0.0308	-0.164	0
0.0248	-0.1377	0
0.0222	-0.1306	0
0.028	-0.1536	0
0.0087	-0.0891	0
0.0287	-0.1222	0
-0.0486	-0.0244	0
-0.0499	-0.0231	0
0.0278	0.0544	0
0.0249	0.0529	0
0.017	0.0433	0
0.0231	0.0561	0
0.0291	0.054	0
0.0133	0.0495	0
0.0063	-0.0331	0
0.0061	-0.032	0
-0.001	-0.0204	0
0.0005	-0.0079	0
0.0118	-0.0366	0
-0.0245	-0.0026	0
-0.0167	0.0095	0
0	0.017	0
-0.0133	0.0119	0
-0.0317	0.018	0
-0.0325	0.0114	0
0.0314	0.0357	0
0.0403	0.0622	0
0.0288	0.0365	0
0.042	0.0571	0
0.0355	0.0396	0
0.014	-0.0274	0
-0.0438	0.0035	0
-0.1316	0.0171	0
-0.0122	-0.0142	0
0.0166	0.0178	0
0.03	0.0392	0
0.0438	0.0589	0
0.0189	0.011	0
0.0278	0.0339	0
0.03	0.0357	0
0.0272	0.0332	0
0.0145	-0.008	0
0.027	0.0243	0
-0.0823	0.008	0
0.0329	0.0328	0
0.0245	0.0332	0
0.0262	0.026	0
0.0444	0.0596	0
0.0094	0.0206	0
0.0137	0.0209	0
0.0028	-0.0305	0
-0.0131	-0.0526	0
0.0193	-0.0571	0
-0.0946	0.0265	0
-0.0131	-0.0123	0
0.0311	0.0347	0
0.0408	0.0556	0
0.0405	0.0572	0
0.0412	0.0556	0
0.0165	-0.012	0
0.0221	0.0308	0
0.0398	0.0532	0
0.0314	0.0375	0
0.0041	-0.0146	0
-0.0039	-0.038	0
-0.105	0.0001	0
0.0124	-0.0375	0
0.0292	0.0354	0
0.0355	0.0413	0
0.0226	0.024	0
-0.0109	-0.0324	0
0.0487	0.0692	0
0.0277	0.0359	0
0.0265	0.0288	0
0.0243	0.0296	0
0.0124	-0.0281	0
-0.1365	0.0244	0
0.0224	0.0315	0
0.0393	0.0506	0
-0.0489	0.0167	0
0.0232	0.029	0
0.0433	0.0617	0
0.0213	0.0313	0
0.0006	0.0166	0
-0.0402	-0.0204	0
0.0063	-0.0331	0
-0.0483	0.0041	0
0.0275	0.0294	0
0.0025	0.0241	0
0.0314	0.043	0
0.0281	0.0314	0
0.0413	0.052	0
0.0182	0.0144	0
0.0211	0.0237	0
0.0405	0.0501	0
-0.0039	-0.0252	0
0.0164	-0.046	0
-0.0007	-0.0315	0
-0.1327	0.0163	0
-0.0233	0.0151	0
0.04	0.053	0
0.0196	0.0307	0
-0.0386	0.0055	0
0.0173	-0.0374	0
0.0285	0.0325	0
0.0241	0.0339	0
0.0404	0.05	0
0.0139	-0.0265	0
-0.0084	-0.0215	0
-0.0331	0.0012	0
-0.075	0.002	0
0.0281	0.0341	0
-0.0926	0.0004	0
-0.1762	0.023	0
-0.1641	0.0216	0
-0.1763	0.0193	0
-0.1439	0.0201	0
-0.0869	0.001	0
-0.1237	-0.0031	0
-0.0215	-0.0256	0
-0.1296	0.0161	0
-0.1825	0.0173	0
-0.2067	0.0205	0
0.0335	0.0397	0
0.0414	0.058	0
0.0223	0.051	0
0.0084	-0.0262	0
0.0215	0.0241	0
0.0247	0.0346	0
-0.2015	0.0222	0
0.0434	0.0615	0
0.0132	-0.032	0
0.0215	0.0663	0
0.0253	0.0691	0
0.0233	0.0651	0
0.0155	-0.0318	0
0.0138	-0.0286	0
0.0264	-0.1349	0
0.0285	-0.1555	0
0.0323	-0.1658	0
0.0281	-0.1609	0
0.0258	-0.1306	0
0.0277	-0.147	0
-0.059	0.0046	0
-0.059	0.0086	0
-0.0597	0.008	0
0.022	-0.1367	0
0.0283	-0.144	0
0.0277	-0.1524	0
0.0271	-0.1447	0
0.0151	-0.0745	0
0.0292	-0.14	0
0.0073	-0.0517	0
-0.0245	-0.028	0
-0.0203	-0.0292	0
-0.0209	-0.0308	0
-0.0217	-0.0296	0
0.0192	-0.0276	0
0.0191	-0.0584	0
0.0221	-0.0434	0
0.0152	-0.0316	0
0.0181	-0.0459	0
0.0204	-0.0549	0
0.0027	-0.0264	0
0.0147	-0.0441	0
0.0092	-0.0387	0
0.019	-0.0561	0
0.0184	-0.0546	0
0.0136	-0.0395	0
0.0165	-0.0435	0
0.0164	-0.0439	0
0.0103	-0.0373	0
0.0132	-0.0428	0
0.0117	-0.0419	0
0.012	-0.0442	0
0.0106	-0.0422	0
0.016	-0.0426	0
0.0143	-0.043	0
0.009	0.0472	0
0.0352	0.0736	0
0.0215	0.0663	0
0.0253	0.0691	0
0.0221	0.0693	0
0.025	0.0638	0
0.0217	-0.0894	0
0.0291	-0.1157	0
0.0272	-0.1118	0
0.0233	-0.1052	0
0.0222	-0.0909	0
0.023	-0.0901	0
0.0272	-0.1167	0
0.0292	-0.1196	0
0.027	-0.1079	0
0.0196	-0.0883	0
0.03	-0.1213	0
0.0272	-0.1188	0
0.026	0.0346	0
0.0015	0.0161	0
-0.1763	0.0227	0
0.0168	-0.047	0
0.0309	0.0372	0
0.0162	0.0281	0
-0.0176	-0.0085	0
0.0386	0.05	0
-0.0951	0.0083	0
0.0177	0.0056	0
0.0081	-0.0219	0
0.0105	-0.0327	0
0.0411	0.0538	0
0.0298	0.0355	0
0.0424	0.0595	0
-0.0385	0.0048	0
0.0103	-0.0308	0
0.0206	0.0231	0
-0.0178	0.0079	0
0.0065	-0.0182	0
0.028	0.0294	0
0.0243	0.0268	0
0.0084	-0.0399	0
0.0216	0.0282	0
0.0245	0.0491	0
0.0302	0.0384	0
0.0045	-0.0131	0
-0.076	0.013	0
-0.0224	-0.0084	0
0.0334	0.046	0
0.0123	0.0317	0
0.0287	0.0296	0
0.0194	0.0294	0
0.0383	0.051	0
0.0168	0.0232	0
-0.0022	0.0221	0
0.0304	0.0375	0
0.0399	0.0563	0
-0.0039	-0.0099	0
0.0054	-0.0477	0
0.0403	0.0516	0
0.0165	-0.0296	0
0.0194	0.0228	0
0.0244	0.0328	0
0.0026	0.0171	1
0.001	0.0083	1
0.0182	0.0187	1
0.0167	0.0178	1
0.0355	0.0397	1
0.0133	0.0179	1
0.0314	0.0377	1
0.0215	0.0329	1
0.0205	0.031	1
0.0278	0.0287	1
0.0385	0.0497	1
-0.0124	0.0097	1
-0.0191	0.0018	1
0.0165	0.0316	1
0	0.0163	1
-0.0342	0.0105	1
0.0096	0.0209	1
0.0114	-0.0091	1
0.0279	0.036	1
-0.015	-0.0031	1
0.0255	0.0313	1
0.027	0.0242	1
0.0222	0.0306	1
0.0488	0.0692	1
0.0184	0.0143	1
0.042	0.0572	1
-0.0485	0.0166	1
-0.0435	0.0057	1
-0.0077	0.0082	1
0.0109	0.0039	1
0.0263	0.0263	1
0.0287	0.0326	1
0.0165	-0.0119	1
0.0336	0.0397	1
0.0323	0.0336	1
0.0423	0.0565	1
0.027	0.0315	1
0.0226	0.0289	1
0.0171	0.0012	1
0.0227	0.0241	1
0.0399	0.0528	1
-0.011	0.0102	1
0.0275	0.031	1
0.0342	0.0353	1
0.0208	0.0221	1
0.0211	0.0282	1
0.0217	0.0242	1
0.0321	0.0403	1
-0.0061	0.0071	1
0.0278	0.0341	1
0.0037	0.0048	1
0.0223	0.0508	1
0.0027	0.0214	1
0.0222	0.0251	1
0.0239	0.032	1
0.0179	0.0195	1
0.0214	0.0314	1
0.0268	0.0266	1
0.0247	0.0335	1
0.027	0.0248	1
0.0315	0.0432	1
0.0396	0.0552	1
0.025	0.0347	1
0.0228	0.0188	1
0.0253	0.0321	1
-0.0104	0.0104	1
0.0371	0.053	1
0.0249	0.024	1
0.0379	0.0517	1
0.0214	0.0247	1
0.0089	0.0326	1
0.0086	0.0356	1
-0.0025	0.0339	1
0.0346	0.0411	1
0.0233	0.0293	1
0.0334	0.0351	1
0.0202	0.021	1
0.021	0.0327	1
0.002	0.0019	1
0.0281	0.0349	1
0.039	0.0542	1
0.009	0.0196	1
0.0207	0.0317	1
0.0418	0.0603	1
0.0413	0.0631	1
0.0441	0.0567	1
0.0423	0.0597	1
0.0448	0.0572	1
0.0091	-0.0003	1
0.0425	0.0529	1
0.0417	0.0564	1
0.0293	0.0291	1
0.0398	0.0511	1
0.0107	-0.0051	1
0.0413	0.0567	1
0.0027	0.0208	1
0.0193	0.025	1
0.0093	0.0152	1
0.0062	0.0229	1
-0.0124	0.0181	1
0.0184	0.0296	1
0.0302	0.0384	1
0.041	0.0528	1
-0.0013	-0.0233	2
-0.0229	-0.0272	2
0.0134	-0.032	2
0.0129	-0.0289	2
-0.0421	-0.0218	2
-0.0175	-0.0482	2
-0.0309	-0.0123	2
0.0085	-0.0245	2
-0.0438	0.0038	2
-0.0218	-0.0148	2
0.0011	-0.0302	2
-0.0278	-0.0201	2
-0.0322	0.0023	2
-0.0494	0.0032	2
0.0126	-0.0278	2
0.0206	-0.0261	2
-0.0021	-0.0217	2
-0.0043	-0.0272	2
0.0035	-0.033	2
0.0131	-0.0332	2
-0.031	-0.0118	2
-0.0144	-0.0487	2
-0.0114	-0.0501	2
0.0149	-0.0473	2
0.0085	-0.0259	2
0.0088	-0.0211	2
0.0159	-0.0266	2
-0.0059	-0.0438	2
0.0194	-0.0567	2
0.011	-0.0267	2
-0.0144	-0.0395	2
0.0112	-0.0236	2
-0.0209	-0.0047	2
-0.0007	-0.0116	2
0.0121	-0.0223	2
0.0159	-0.0254	2
-0.0867	0.001	3
-0.1026	0.0039	3
-0.1049	0.0001	3
-0.0942	0.0266	3
-0.1757	0.0236	3
-0.1236	-0.0029	3
-0.1293	0.0159	3
-0.1824	0.0173	3
-0.1363	0.0245	3
-0.0793	-0.01	3
-0.1756	0.0228	3
-0.1754	0.021	3
-0.1677	0.0213	3
-0.2012	0.0223	3
-0.0745	0.0022	3
-0.1549	0.0191	3
-0.129	0.0181	3
